ID,Gene Symbol,Gene Title
204409_s_at,EIF1AY,"eukaryotic translation initiation factor 1A, Y-linked"
204410_at,EIF1AY,"eukaryotic translation initiation factor 1A, Y-linked"
204411_at,KIF21B,kinesin family member 21B
204412_s_at,NEFH,"neurofilament, heavy polypeptide"
204413_at,TRAF2,TNF receptor-associated factor 2
204414_at,LARGE,like-glycosyltransferase
204415_at,IFI6,"interferon, alpha-inducible protein 6"
204416_x_at,APOC1,apolipoprotein C-I
204417_at,GALC,galactosylceramidase
204418_x_at,GSTM2,glutathione S-transferase mu 2 (muscle)
204419_x_at,HBG1 /// HBG2,"hemoglobin, gamma A /// hemoglobin, gamma G"
204420_at,FOSL1,FOS-like antigen 1
204421_s_at,FGF2,fibroblast growth factor 2 (basic)
204422_s_at,FGF2,fibroblast growth factor 2 (basic)
204423_at,MKLN1,"muskelin 1, intracellular mediator containing kelch motifs"
204424_s_at,LMO3,LIM domain only 3 (rhombotin-like 2)
204425_at,ARHGAP4,Rho GTPase activating protein 4
204426_at,TMED2,transmembrane emp24 domain trafficking protein 2
204427_s_at,TMED2,transmembrane emp24 domain trafficking protein 2
204428_s_at,LCAT,lecithin-cholesterol acyltransferase
204429_s_at,SLC2A5,"solute carrier family 2 (facilitated glucose/fructose transporter), member 5"
204430_s_at,SLC2A5,"solute carrier family 2 (facilitated glucose/fructose transporter), member 5"
204431_at,TLE2,transducin-like enhancer of split 2
204432_at,SOX12,SRY (sex determining region Y)-box 12
204433_s_at,SPATA2,spermatogenesis associated 2
204434_at,SPATA2,spermatogenesis associated 2
204435_at,NUPL1,nucleoporin like 1
204436_at,PLEKHO2,"pleckstrin homology domain containing, family O member 2"
204437_s_at,FOLR1,folate receptor 1 (adult)
204438_at,MRC1,"mannose receptor, C type 1"
204439_at,IFI44L,interferon-induced protein 44-like
204440_at,CD83,CD83 molecule
204441_s_at,POLA2,"polymerase (DNA directed), alpha 2, accessory subunit"
204442_x_at,LTBP4,latent transforming growth factor beta binding protein 4
204443_at,ARSA,arylsulfatase A
204444_at,KIF11,kinesin family member 11
204445_s_at,ALOX5,arachidonate 5-lipoxygenase
204446_s_at,ALOX5,arachidonate 5-lipoxygenase
204447_at,LZTS3,"leucine zipper, putative tumor suppressor family member 3"
204448_s_at,PDCL,phosducin-like
204449_at,PDCL,phosducin-like
204450_x_at,APOA1,apolipoprotein A-I
204451_at,FZD1,frizzled class receptor 1
204452_s_at,FZD1,frizzled class receptor 1
204453_at,ZNF84,zinc finger protein 84
204454_at,LDOC1,"leucine zipper, down-regulated in cancer 1"
204455_at,DST,dystonin
204456_s_at,GAS1,growth arrest-specific 1
204457_s_at,GAS1,growth arrest-specific 1
204458_at,PLA2G15,"phospholipase A2, group XV"
204459_at,CSTF2,"cleavage stimulation factor, 3' pre-RNA, subunit 2, 64kDa"
204460_s_at,RAD1,RAD1 homolog (S. pombe)
204461_x_at,RAD1,RAD1 homolog (S. pombe)
204462_s_at,SLC16A2,"solute carrier family 16, member 2 (thyroid hormone transporter)"
204463_s_at,EDNRA,endothelin receptor type A
204464_s_at,EDNRA,endothelin receptor type A
204465_s_at,INA,"internexin neuronal intermediate filament protein, alpha"
204466_s_at,SNCA,"synuclein, alpha (non A4 component of amyloid precursor)"
204467_s_at,SNCA,"synuclein, alpha (non A4 component of amyloid precursor)"
204468_s_at,TIE1,tyrosine kinase with immunoglobulin-like and EGF-like domains 1
204469_at,PTPRZ1,"protein tyrosine phosphatase, receptor-type, Z polypeptide 1"
204470_at,CXCL1,"chemokine (C-X-C motif) ligand 1 (melanoma growth stimulating activity, alpha)"
204471_at,GAP43,growth associated protein 43
204472_at,GEM,GTP binding protein overexpressed in skeletal muscle
204473_s_at,ZNF592,zinc finger protein 592
204474_at,ZNF142,zinc finger protein 142
204475_at,MMP1,matrix metallopeptidase 1 (interstitial collagenase)
204476_s_at,PC,pyruvate carboxylase
204477_at,RABIF,RAB interacting factor
204478_s_at,RABIF,RAB interacting factor
204479_at,OSTF1,osteoclast stimulating factor 1
204480_s_at,C9orf16,chromosome 9 open reading frame 16
204481_at,BRPF1,"bromodomain and PHD finger containing, 1"
204482_at,CLDN5,claudin 5
204483_at,ENO3,"enolase 3 (beta, muscle)"
204484_at,PIK3C2B,"phosphatidylinositol-4-phosphate 3-kinase, catalytic subunit type 2 beta"
204485_s_at,TOM1L1,target of myb1 (chicken)-like 1
204486_at,KCNQ1OT1 /// LOC101927338,KCNQ1 opposite strand/antisense transcript 1 (non-protein coding) /// uncharacterized LOC101927338
204487_s_at,KCNQ1,"potassium voltage-gated channel, KQT-like subfamily, member 1"
204488_at,DOLK,dolichol kinase
204489_s_at,CD44,CD44 molecule (Indian blood group)
204490_s_at,CD44,CD44 molecule (Indian blood group)
204491_at,PDE4D,"phosphodiesterase 4D, cAMP-specific"
204492_at,ARHGAP11A,Rho GTPase activating protein 11A
204493_at,BID,BH3 interacting domain death agonist
204494_s_at,C15orf39,chromosome 15 open reading frame 39
204495_s_at,C15orf39,chromosome 15 open reading frame 39
204496_at,STRN3,"striatin, calmodulin binding protein 3"
204497_at,ADCY9,adenylate cyclase 9
204498_s_at,ADCY9,adenylate cyclase 9
204499_at,AGTPBP1,ATP/GTP binding protein 1
204500_s_at,AGTPBP1,ATP/GTP binding protein 1
204501_at,NOV,nephroblastoma overexpressed
204502_at,SAMHD1,SAM domain and HD domain 1
204503_at,EVPL,envoplakin
204504_s_at,HIRIP3,HIRA interacting protein 3
204505_s_at,DMTN,dematin actin binding protein
204506_at,PPP3R1,"protein phosphatase 3, regulatory subunit B, alpha"
204507_s_at,PPP3R1,"protein phosphatase 3, regulatory subunit B, alpha"
204508_s_at,CA12,carbonic anhydrase XII
204509_at,CA12,carbonic anhydrase XII
204510_at,CDC7,cell division cycle 7
204511_at,FARP2,"FERM, RhoGEF and pleckstrin domain protein 2"
204512_at,HIVEP1,human immunodeficiency virus type I enhancer binding protein 1
204513_s_at,ELMO1,engulfment and cell motility 1
204514_at,DPH2,DPH2 homolog (S. cerevisiae)
204515_at,HSD3B1,"hydroxy-delta-5-steroid dehydrogenase, 3 beta- and steroid delta-isomerase 1"
204516_at,ATXN7,ataxin 7
204517_at,PPIC,peptidylprolyl isomerase C (cyclophilin C)
204518_s_at,PPIC,peptidylprolyl isomerase C (cyclophilin C)
204519_s_at,PLLP,plasmolipin
204520_x_at,BRD1,bromodomain containing 1
204521_at,FAM216A,"family with sequence similarity 216, member A"
204522_at,DXO,decapping exoribonuclease
204523_at,ZNF140,zinc finger protein 140
204524_at,LOC101060747 /// PDPK1,3-phosphoinositide-dependent protein kinase 1-like /// 3-phosphoinositide dependent protein kinase 1
204525_at,PHF14,PHD finger protein 14
204526_s_at,TBC1D8,"TBC1 domain family, member 8 (with GRAM domain)"
204527_at,MYO5A,"myosin VA (heavy chain 12, myoxin)"
204528_s_at,NAP1L1,nucleosome assembly protein 1-like 1
204529_s_at,TOX,thymocyte selection-associated high mobility group box
204530_s_at,TOX,thymocyte selection-associated high mobility group box
204531_s_at,BRCA1,"breast cancer 1, early onset"
204532_x_at,UGT1A1 /// UGT1A10 /// UGT1A4 /// UGT1A6 /// UGT1A8 /// UGT1A9,"UDP glucuronosyltransferase 1 family, polypeptide A1 /// UDP glucuronosyltransferase 1 family, polypeptide A10 /// UDP glucuronosyltransferase 1 family, polypeptide A4 /// UDP glucuronosyltransferase 1 family, polypeptide A6 /// UDP glucuronosyltransferase 1 family, polypeptide A8 /// UDP glucuronosyltransferase 1 family, polypeptide A9"
204533_at,CXCL10,chemokine (C-X-C motif) ligand 10
204534_at,SEBOX /// VTN,SEBOX homeobox /// vitronectin
204535_s_at,REST,RE1-silencing transcription factor
204536_s_at,,
204537_s_at,GABRE /// MIR224 /// MIR452,"gamma-aminobutyric acid (GABA) A receptor, epsilon /// microRNA 224 /// microRNA 452"
204538_x_at,NPIPA1,"nuclear pore complex interacting protein family, member A1"
204539_s_at,CELSR1,"cadherin, EGF LAG seven-pass G-type receptor 1"
204540_at,EEF1A2,eukaryotic translation elongation factor 1 alpha 2
204541_at,SEC14L2,SEC14-like 2 (S. cerevisiae)
204542_at,ST6GALNAC2,"ST6 (alpha-N-acetyl-neuraminyl-2,3-beta-galactosyl-1,3)-N-acetylgalactosaminide alpha-2,6-sialyltransferase 2"
204543_at,RAPGEF1,Rap guanine nucleotide exchange factor (GEF) 1
204544_at,HPS5,Hermansky-Pudlak syndrome 5
204545_at,PEX6,peroxisomal biogenesis factor 6
204546_at,KIAA0513,KIAA0513
204547_at,RAB40B,"RAB40B, member RAS oncogene family"
204548_at,STAR,steroidogenic acute regulatory protein
204549_at,IKBKE,"inhibitor of kappa light polypeptide gene enhancer in B-cells, kinase epsilon"
204550_x_at,GSTM1,glutathione S-transferase mu 1
204551_s_at,AHSG,alpha-2-HS-glycoprotein
204552_at,INPP4A,"inositol polyphosphate-4-phosphatase, type I, 107kDa"
204553_x_at,INPP4A,"inositol polyphosphate-4-phosphatase, type I, 107kDa"
204554_at,PPP1R3D,"protein phosphatase 1, regulatory subunit 3D"
204555_s_at,PPP1R3D,"protein phosphatase 1, regulatory subunit 3D"
204556_s_at,DZIP1,DAZ interacting zinc finger protein 1
204557_s_at,DZIP1,DAZ interacting zinc finger protein 1
204558_at,RAD54L,RAD54-like (S. cerevisiae)
204559_s_at,LSM7,"LSM7 homolog, U6 small nuclear RNA associated (S. cerevisiae)"
204560_at,FKBP5,FK506 binding protein 5
204561_x_at,APOC2 /// APOC4 /// APOC4-APOC2,apolipoprotein C-II /// apolipoprotein C-IV /// APOC4-APOC2 readthrough (NMD candidate)
204562_at,IRF4,interferon regulatory factor 4
204563_at,SELL,selectin L
204564_at,PCGF3,polycomb group ring finger 3
204565_at,ACOT13,acyl-CoA thioesterase 13
204566_at,PPM1D,"protein phosphatase, Mg2+/Mn2+ dependent, 1D"
204567_s_at,ABCG1,"ATP-binding cassette, sub-family G (WHITE), member 1"
204568_at,ATG14,autophagy related 14
204569_at,ICK,intestinal cell (MAK-like) kinase
204570_at,COX7A1,cytochrome c oxidase subunit VIIa polypeptide 1 (muscle)
204571_x_at,PIN4,"protein (peptidylprolyl cis/trans isomerase) NIMA-interacting, 4 (parvulin)"
204572_s_at,PIN4,"protein (peptidylprolyl cis/trans isomerase) NIMA-interacting, 4 (parvulin)"
204573_at,CROT,carnitine O-octanoyltransferase
204574_s_at,MMP19,matrix metallopeptidase 19
204575_s_at,MMP19,matrix metallopeptidase 19
204576_s_at,CLUAP1,clusterin associated protein 1
204577_s_at,CLUAP1,clusterin associated protein 1
204578_at,PPIP5K1,diphosphoinositol pentakisphosphate kinase 1
204579_at,FGFR4,fibroblast growth factor receptor 4
204580_at,MMP12,matrix metallopeptidase 12 (macrophage elastase)
204581_at,CD22,CD22 molecule
204582_s_at,KLK3,kallikrein-related peptidase 3
204583_x_at,KLK3,kallikrein-related peptidase 3
204584_at,L1CAM,L1 cell adhesion molecule
204585_s_at,L1CAM,L1 cell adhesion molecule
204586_at,BSN,bassoon presynaptic cytomatrix protein
204587_at,SLC25A14,"solute carrier family 25 (mitochondrial carrier, brain), member 14"
204588_s_at,SLC7A7,"solute carrier family 7 (amino acid transporter light chain, y+L system), member 7"
204589_at,NUAK1,"NUAK family, SNF1-like kinase, 1"
204590_x_at,VPS33A,vacuolar protein sorting 33 homolog A (S. cerevisiae)
204591_at,CHL1,cell adhesion molecule L1-like
204592_at,DLG4,"discs, large homolog 4 (Drosophila)"
204593_s_at,MIEF1,mitochondrial elongation factor 1
204594_s_at,MIEF1,mitochondrial elongation factor 1
204595_s_at,STC1,stanniocalcin 1
204596_s_at,STC1,stanniocalcin 1
204597_x_at,STC1,stanniocalcin 1
204598_at,UBOX5,U-box domain containing 5
204599_s_at,MRPL28,mitochondrial ribosomal protein L28
204600_at,EPHB3,EPH receptor B3
204601_at,N4BP1,NEDD4 binding protein 1
204602_at,DKK1,dickkopf WNT signaling pathway inhibitor 1
204603_at,EXO1,exonuclease 1
204604_at,CDK14,cyclin-dependent kinase 14
204605_at,CGRRF1,cell growth regulator with ring finger domain 1
204606_at,CCL21,chemokine (C-C motif) ligand 21
204607_at,HMGCS2,3-hydroxy-3-methylglutaryl-CoA synthase 2 (mitochondrial)
204608_at,ASL,argininosuccinate lyase
204609_at,CCDC85B,coiled-coil domain containing 85B
204610_s_at,CCDC85B,coiled-coil domain containing 85B
204611_s_at,PPP2R5B,"protein phosphatase 2, regulatory subunit B', beta"
204612_at,PKIA,"protein kinase (cAMP-dependent, catalytic) inhibitor alpha"
204613_at,PLCG2,"phospholipase C, gamma 2 (phosphatidylinositol-specific)"
204614_at,SERPINB2,"serpin peptidase inhibitor, clade B (ovalbumin), member 2"
204615_x_at,IDI1,isopentenyl-diphosphate delta isomerase 1
204616_at,UCHL3,ubiquitin carboxyl-terminal esterase L3 (ubiquitin thiolesterase)
204617_s_at,ACD,adrenocortical dysplasia homolog (mouse)
204618_s_at,GABPB1,"GA binding protein transcription factor, beta subunit 1"
204619_s_at,VCAN,versican
204620_s_at,VCAN,versican
204621_s_at,NR4A2,"nuclear receptor subfamily 4, group A, member 2"
204622_x_at,NR4A2,"nuclear receptor subfamily 4, group A, member 2"
204623_at,TFF3,trefoil factor 3 (intestinal)
204624_at,ATP7B,"ATPase, Cu++ transporting, beta polypeptide"
204625_s_at,ITGB3,"integrin, beta 3 (platelet glycoprotein IIIa, antigen CD61)"
204626_s_at,ITGB3,"integrin, beta 3 (platelet glycoprotein IIIa, antigen CD61)"
204627_s_at,ITGB3,"integrin, beta 3 (platelet glycoprotein IIIa, antigen CD61)"
204628_s_at,ITGB3,"integrin, beta 3 (platelet glycoprotein IIIa, antigen CD61)"
204629_at,PARVB,"parvin, beta"
204630_s_at,GOSR1,golgi SNAP receptor complex member 1
204631_at,MYH2,"myosin, heavy chain 2, skeletal muscle, adult"
204632_at,RPS6KA4,"ribosomal protein S6 kinase, 90kDa, polypeptide 4"
204633_s_at,RPS6KA5,"ribosomal protein S6 kinase, 90kDa, polypeptide 5"
204634_at,NEK4,NIMA-related kinase 4
204635_at,RPS6KA5,"ribosomal protein S6 kinase, 90kDa, polypeptide 5"
204636_at,COL17A1,"collagen, type XVII, alpha 1"
204637_at,CGA,"glycoprotein hormones, alpha polypeptide"
204638_at,ACP5,"acid phosphatase 5, tartrate resistant"
204639_at,ADA,adenosine deaminase
204640_s_at,SPOP,speckle-type POZ protein
204641_at,NEK2,NIMA-related kinase 2
204642_at,S1PR1,sphingosine-1-phosphate receptor 1
204643_s_at,ENOX2,ecto-NOX disulfide-thiol exchanger 2
204644_at,ENOX2,ecto-NOX disulfide-thiol exchanger 2
204645_at,CCNT2,cyclin T2
204646_at,DPYD,dihydropyrimidine dehydrogenase
204647_at,HOMER3,homer homolog 3 (Drosophila)
204648_at,NPR1,natriuretic peptide receptor 1
204649_at,TROAP,trophinin associated protein
204650_s_at,APBB3 /// MIR6831,"amyloid beta (A4) precursor protein-binding, family B, member 3 /// microRNA 6831"
204651_at,NRF1,nuclear respiratory factor 1
204652_s_at,NRF1,nuclear respiratory factor 1
204653_at,TFAP2A,transcription factor AP-2 alpha (activating enhancer binding protein 2 alpha)
204654_s_at,TFAP2A,transcription factor AP-2 alpha (activating enhancer binding protein 2 alpha)
204655_at,CCL5,chemokine (C-C motif) ligand 5
204656_at,SHB,Src homology 2 domain containing adaptor protein B
204657_s_at,SHB,Src homology 2 domain containing adaptor protein B
204658_at,TRA2A,transformer 2 alpha homolog (Drosophila)
204659_s_at,GFER,"growth factor, augmenter of liver regeneration"
204660_at,GFER,"growth factor, augmenter of liver regeneration"
204661_at,CD52,CD52 molecule
204662_at,CCP110,centriolar coiled coil protein 110kDa
204663_at,ME3,"malic enzyme 3, NADP(+)-dependent, mitochondrial"
204664_at,ALPP,"alkaline phosphatase, placental"
204665_at,SIKE1,suppressor of IKBKE 1
204666_s_at,SIKE1,suppressor of IKBKE 1
204667_at,FOXA1,forkhead box A1
204668_at,RNF24,ring finger protein 24
204669_s_at,RNF24,ring finger protein 24
204670_x_at,HLA-DRB1 /// HLA-DRB4 /// LOC100996809,"major histocompatibility complex, class II, DR beta 1 /// major histocompatibility complex, class II, DR beta 4 /// HLA class II histocompatibility antigen, DRB1-10 beta chain-like"
204671_s_at,ANKRD6,ankyrin repeat domain 6
204672_s_at,ANKRD6,ankyrin repeat domain 6
204673_at,MUC2,"mucin 2, oligomeric mucus/gel-forming"
204674_at,LRMP,lymphoid-restricted membrane protein
204675_at,SRD5A1,"steroid-5-alpha-reductase, alpha polypeptide 1 (3-oxo-5 alpha-steroid delta 4-dehydrogenase alpha 1)"
204676_at,TMEM186,transmembrane protein 186
204677_at,CDH5,"cadherin 5, type 2 (vascular endothelium)"
204678_s_at,KCNK1,"potassium channel, subfamily K, member 1"
204679_at,KCNK1,"potassium channel, subfamily K, member 1"
204680_s_at,RAPGEF5,Rap guanine nucleotide exchange factor (GEF) 5
204681_s_at,RAPGEF5,Rap guanine nucleotide exchange factor (GEF) 5
204682_at,LTBP2,latent transforming growth factor beta binding protein 2
204683_at,ICAM2,intercellular adhesion molecule 2
204684_at,NPTX1,neuronal pentraxin I
204685_s_at,ATP2B2,"ATPase, Ca++ transporting, plasma membrane 2"
204686_at,IRS1,insulin receptor substrate 1
204687_at,PARM1,prostate androgen-regulated mucin-like protein 1
204688_at,SGCE,"sarcoglycan, epsilon"
204689_at,HHEX,hematopoietically expressed homeobox
204690_at,STX8,syntaxin 8
204691_x_at,PLA2G6,"phospholipase A2, group VI (cytosolic, calcium-independent)"
204692_at,LRCH4 /// SAP25,"leucine-rich repeats and calponin homology (CH) domain containing 4 /// Sin3A-associated protein, 25kDa"
204693_at,CDC42EP1,CDC42 effector protein (Rho GTPase binding) 1
204694_at,AFP,alpha-fetoprotein
204695_at,CDC25A,cell division cycle 25A
204696_s_at,CDC25A,cell division cycle 25A
204697_s_at,CHGA,chromogranin A (parathyroid secretory protein 1)
204698_at,ISG20,interferon stimulated exonuclease gene 20kDa
204699_s_at,DIEXF,digestive organ expansion factor homolog (zebrafish)
204700_x_at,DIEXF,digestive organ expansion factor homolog (zebrafish)
204701_s_at,STOML1,stomatin (EPB72)-like 1
204702_s_at,NFE2L3,"nuclear factor, erythroid 2-like 3"
204703_at,IFT88,intraflagellar transport 88 homolog (Chlamydomonas)
204704_s_at,ALDOB,"aldolase B, fructose-bisphosphate"
204705_x_at,ALDOB,"aldolase B, fructose-bisphosphate"
204706_at,INPP5E,"inositol polyphosphate-5-phosphatase, 72 kDa"
204707_s_at,MAPK4,mitogen-activated protein kinase 4
204708_at,MAPK4,mitogen-activated protein kinase 4
204709_s_at,KIF23,kinesin family member 23
204710_s_at,WIPI2,"WD repeat domain, phosphoinositide interacting 2"
204711_at,KIAA0753,KIAA0753
204712_at,WIF1,WNT inhibitory factor 1
204713_s_at,F5,"coagulation factor V (proaccelerin, labile factor)"
204714_s_at,F5,"coagulation factor V (proaccelerin, labile factor)"
204715_at,PANX1,pannexin 1
204716_at,CCDC6,coiled-coil domain containing 6
204717_s_at,SLC29A2,"solute carrier family 29 (equilibrative nucleoside transporter), member 2"
204718_at,EPHB6,EPH receptor B6
204719_at,ABCA8,"ATP-binding cassette, sub-family A (ABC1), member 8"
204720_s_at,DNAJC6,"DnaJ (Hsp40) homolog, subfamily C, member 6"
204721_s_at,DNAJC6,"DnaJ (Hsp40) homolog, subfamily C, member 6"
204722_at,SCN3B,"sodium channel, voltage-gated, type III, beta subunit"
204723_at,SCN3B,"sodium channel, voltage-gated, type III, beta subunit"
204724_s_at,COL9A3,"collagen, type IX, alpha 3"
204725_s_at,NCK1,NCK adaptor protein 1
204726_at,CDH13,cadherin 13
204727_at,WDHD1,WD repeat and HMG-box DNA binding protein 1
204728_s_at,WDHD1,WD repeat and HMG-box DNA binding protein 1
204729_s_at,STX1A,syntaxin 1A (brain)
204730_at,RIMS3,regulating synaptic membrane exocytosis 3
204731_at,TGFBR3,"transforming growth factor, beta receptor III"
204732_s_at,TRIM23,tripartite motif containing 23
204733_at,KLK6,kallikrein-related peptidase 6
204734_at,KRT15,keratin 15
204735_at,PDE4A,"phosphodiesterase 4A, cAMP-specific"
204736_s_at,CSPG4,chondroitin sulfate proteoglycan 4
204737_s_at,MYH6 /// MYH7,"myosin, heavy chain 6, cardiac muscle, alpha /// myosin, heavy chain 7, cardiac muscle, beta"
204738_s_at,KRIT1,"KRIT1, ankyrin repeat containing"
204739_at,CENPC,centromere protein C
204740_at,CNKSR1,connector enhancer of kinase suppressor of Ras 1
204741_at,BICD1,bicaudal D homolog 1 (Drosophila)
204742_s_at,PDS5B,"PDS5, regulator of cohesion maintenance, homolog B (S. cerevisiae)"
204743_at,TAGLN3,transgelin 3
204744_s_at,IARS,isoleucyl-tRNA synthetase
204745_x_at,MT1G,metallothionein 1G
204746_s_at,PICK1,protein interacting with PRKCA 1
204747_at,IFIT3,interferon-induced protein with tetratricopeptide repeats 3
204748_at,PTGS2,prostaglandin-endoperoxide synthase 2 (prostaglandin G/H synthase and cyclooxygenase)
204749_at,NAP1L3,nucleosome assembly protein 1-like 3
204750_s_at,DSC2,desmocollin 2
204751_x_at,DSC2,desmocollin 2
204752_x_at,PARP2,poly (ADP-ribose) polymerase 2
204753_s_at,HLF,hepatic leukemia factor
204754_at,HLF,hepatic leukemia factor
204755_x_at,HLF,hepatic leukemia factor
204756_at,MAP2K5,mitogen-activated protein kinase kinase 5
204757_s_at,C2CD2L,C2CD2-like
204758_s_at,C2CD2L,C2CD2-like
204759_at,RCBTB2,regulator of chromosome condensation (RCC1) and BTB (POZ) domain containing protein 2
204760_s_at,NR1D1 /// THRA,"nuclear receptor subfamily 1, group D, member 1 /// thyroid hormone receptor, alpha"
204761_at,USP6NL /// USP6NL-IT1,USP6 N-terminal like /// USP6NL intronic transcript 1 (non-protein coding)
204762_s_at,GNAO1,"guanine nucleotide binding protein (G protein), alpha activating activity polypeptide O"
204763_s_at,GNAO1,"guanine nucleotide binding protein (G protein), alpha activating activity polypeptide O"
204764_at,CHURC1-FNTB /// FNTB,"CHURC1-FNTB readthrough /// farnesyltransferase, CAAX box, beta"
204765_at,ARHGEF5,Rho guanine nucleotide exchange factor (GEF) 5
204766_s_at,NUDT1,nudix (nucleoside diphosphate linked moiety X)-type motif 1
204767_s_at,FEN1,flap structure-specific endonuclease 1
204768_s_at,FEN1,flap structure-specific endonuclease 1
204769_s_at,TAP2,"transporter 2, ATP-binding cassette, sub-family B (MDR/TAP)"
204770_at,TAP2,"transporter 2, ATP-binding cassette, sub-family B (MDR/TAP)"
204771_s_at,TTF1,"transcription termination factor, RNA polymerase I"
204772_s_at,TTF1,"transcription termination factor, RNA polymerase I"
204773_at,IL11RA,"interleukin 11 receptor, alpha"
204774_at,EVI2A,ecotropic viral integration site 2A
204775_at,CHAF1B,"chromatin assembly factor 1, subunit B (p60)"
204776_at,THBS4,thrombospondin 4
204777_s_at,MAL,"mal, T-cell differentiation protein"
204778_x_at,HOXB7,homeobox B7
204779_s_at,HOXB7,homeobox B7
204780_s_at,FAS,Fas cell surface death receptor
204781_s_at,FAS,Fas cell surface death receptor
204782_at,,
204783_at,MLF1,myeloid leukemia factor 1
204784_s_at,MLF1,myeloid leukemia factor 1
204785_x_at,IFNAR2,"interferon (alpha, beta and omega) receptor 2"
204786_s_at,IFNAR2,"interferon (alpha, beta and omega) receptor 2"
204787_at,VSIG4,V-set and immunoglobulin domain containing 4
204788_s_at,PPOX,protoporphyrinogen oxidase
204789_at,FMNL1,formin-like 1
204790_at,SMAD7,SMAD family member 7
204791_at,NR2C1,"nuclear receptor subfamily 2, group C, member 1"
204792_s_at,IFT140,intraflagellar transport 140 homolog (Chlamydomonas)
204793_at,GPRASP1,G protein-coupled receptor associated sorting protein 1
204794_at,DUSP2,dual specificity phosphatase 2
204795_at,PRR3,proline rich 3
204796_at,EML1,echinoderm microtubule associated protein like 1
204797_s_at,EML1,echinoderm microtubule associated protein like 1
204798_at,MYB,v-myb avian myeloblastosis viral oncogene homolog
204799_at,ZBED4,"zinc finger, BED-type containing 4"
204800_s_at,DHRS12,dehydrogenase/reductase (SDR family) member 12
204801_s_at,DHRS12,dehydrogenase/reductase (SDR family) member 12
204802_at,RRAD,Ras-related associated with diabetes
204803_s_at,RRAD,Ras-related associated with diabetes
204804_at,TRIM21,tripartite motif containing 21
204805_s_at,H1FX,"H1 histone family, member X"
204806_x_at,HLA-F,"major histocompatibility complex, class I, F"
204807_at,TMEM5,transmembrane protein 5
204808_s_at,TMEM5,transmembrane protein 5
204809_at,CLPX,caseinolytic mitochondrial matrix peptidase chaperone subunit
204810_s_at,CKM,"creatine kinase, muscle"
204811_s_at,CACNA2D2,"calcium channel, voltage-dependent, alpha 2/delta subunit 2"
204812_at,ZW10,zw10 kinetochore protein
204813_at,MAPK10,mitogen-activated protein kinase 10
204814_at,CADPS,Ca++-dependent secretion activator
204815_s_at,DHX34,DEAH (Asp-Glu-Ala-His) box polypeptide 34
204816_s_at,DHX34,DEAH (Asp-Glu-Ala-His) box polypeptide 34
204817_at,ESPL1,extra spindle pole bodies homolog 1 (S. cerevisiae)
204818_at,HSD17B2,hydroxysteroid (17-beta) dehydrogenase 2
204819_at,FGD1,"FYVE, RhoGEF and PH domain containing 1"
204820_s_at,BTN3A2 /// BTN3A3,"butyrophilin, subfamily 3, member A2 /// butyrophilin, subfamily 3, member A3"
204821_at,BTN3A3,"butyrophilin, subfamily 3, member A3"
204822_at,TTK,TTK protein kinase
204823_at,NAV3,neuron navigator 3
204824_at,ENDOG,endonuclease G
204825_at,MELK,maternal embryonic leucine zipper kinase
204826_at,CCNF,cyclin F
204827_s_at,CCNF,cyclin F
204828_at,RAD9A,RAD9 homolog A (S. pombe)
204829_s_at,FOLR2,folate receptor 2 (fetal)
204830_x_at,PSG5,pregnancy specific beta-1-glycoprotein 5
204831_at,CDK8,cyclin-dependent kinase 8
204832_s_at,BMPR1A,"bone morphogenetic protein receptor, type IA"
204833_at,ATG12,autophagy related 12
204834_at,FGL2,fibrinogen-like 2
204835_at,POLA1,"polymerase (DNA directed), alpha 1, catalytic subunit"
204836_at,GLDC,glycine dehydrogenase (decarboxylating)
204837_at,MTMR9,myotubularin related protein 9
204838_s_at,MLH3,mutL homolog 3
204839_at,POP5,"processing of precursor 5, ribonuclease P/MRP subunit (S. cerevisiae)"
204840_s_at,EEA1,early endosome antigen 1
204841_s_at,EEA1,early endosome antigen 1
204842_x_at,PRKAR2A,"protein kinase, cAMP-dependent, regulatory, type II, alpha"
204843_s_at,PRKAR2A,"protein kinase, cAMP-dependent, regulatory, type II, alpha"
204844_at,ENPEP,glutamyl aminopeptidase (aminopeptidase A)
204845_s_at,ENPEP,glutamyl aminopeptidase (aminopeptidase A)
204846_at,CP,ceruloplasmin (ferroxidase)
204847_at,ZBTB11,zinc finger and BTB domain containing 11
204848_x_at,HBG1 /// HBG2,"hemoglobin, gamma A /// hemoglobin, gamma G"
204849_at,TCFL5,transcription factor-like 5 (basic helix-loop-helix)
204850_s_at,DCX,doublecortin
204851_s_at,DCX,doublecortin
204852_s_at,PTPN7,"protein tyrosine phosphatase, non-receptor type 7"
204853_at,ORC2,"origin recognition complex, subunit 2"
204854_at,LEPREL2,leprecan-like 2
204855_at,SERPINB5,"serpin peptidase inhibitor, clade B (ovalbumin), member 5"
204856_at,B3GNT3,"UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 3"
204857_at,MAD1L1,MAD1 mitotic arrest deficient-like 1 (yeast)
204858_s_at,TYMP,thymidine phosphorylase
204859_s_at,APAF1,apoptotic peptidase activating factor 1
204860_s_at,NAIP,"NLR family, apoptosis inhibitory protein"
204861_s_at,NAIP,"NLR family, apoptosis inhibitory protein"
